route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
9011025001000000,1,252500000000000001,,1,1252500000000000001
9011025001000000,1,252500000000000002,,1,1252500000000000002
9011025001000000,2,252500000000000003,,1,1252500000000000003
9011025001000000,3,252500000000000004,,1,1252500000000000004
9011025001000000,1,252500000000000005,,1,1252500000000000005
9011025001000000,3,252500000000000006,,1,1252500000000000006
9011025001000000,3,252500000000000007,,1,1252500000000000007
9011025001000000,1,252500000000000008,,0,1252500000000000008
9011025001000000,3,252500000000000009,,0,1252500000000000009
9011025001000000,1,252500000000000010,,0,1252500000000000010
9011025001000000,2,252500000000000011,,0,1252500000000000011
9011025001000000,3,252500000000000012,,0,1252500000000000012
9011025001400000,3,252500000000000013,,1,1252500000000000013
9011025001400000,1,252500000000000014,,1,1252500000000000014
9011025001400000,1,252500000000000015,,1,1252500000000000015
9011025001400000,1,252500000000000016,,1,1252500000000000016
9011025001400000,1,252500000000000017,,1,1252500000000000017
9011025001400000,4,252500000000000018,,1,1252500000000000018
9011025001400000,1,252500000000000019,,1,1252500000000000019
9011025001400000,1,252500000000000020,,1,1252500000000000020
9011025001400000,1,252500000000000021,,1,1252500000000000021
9011025001400000,1,252500000000000022,,1,1252500000000000022
9011025001400000,1,252500000000000023,,1,1252500000000000023
9011025001400000,1,252500000000000024,,1,1252500000000000024
9011025001400000,1,252500000000000025,,1,1252500000000000025
9011025001400000,1,252500000000000026,,1,1252500000000000026
9011025001400000,4,252500000000000027,,1,1252500000000000027
9011025001400000,1,252500000000000028,,1,1252500000000000028
9011025001400000,1,252500000000000029,,1,1252500000000000029
9011025001400000,2,252500000000000030,,1,1252500000000000030
9011025001400000,2,252500000000000031,,1,1252500000000000031
9011025001400000,3,252500000000000032,,1,1252500000000000032
9011025001400000,3,252500000000000033,,1,1252500000000000033
9011025001400000,1,252500000000000034,,1,1252500000000000034
9011025001400000,4,252500000000000035,,1,1252500000000000035
9011025001400000,4,252500000000000036,,1,1252500000000000036
9011025001400000,5,252500000000000037,,1,1252500000000000037
9011025001400000,1,252500000000000038,,1,1252500000000000038
9011025001400000,1,252500000000000039,,1,1252500000000000039
9011025001400000,1,252500000000000040,,0,1252500000000000040
9011025001400000,1,252500000000000041,,0,1252500000000000041
9011025001400000,1,252500000000000042,,0,1252500000000000042
9011025001400000,1,252500000000000043,,0,1252500000000000043
9011025001400000,1,252500000000000044,,0,1252500000000000044
9011025001400000,1,252500000000000045,,0,1252500000000000045
9011025001400000,1,252500000000000046,,0,1252500000000000046
9011025001400000,1,252500000000000047,,0,1252500000000000047
9011025001400000,1,252500000000000048,,0,1252500000000000048
9011025001400000,4,252500000000000049,,0,1252500000000000049
9011025001400000,1,252500000000000050,,0,1252500000000000050
9011025001400000,6,252500000000000051,,0,1252500000000000051
9011025001400000,4,252500000000000052,,0,1252500000000000052
9011025001400000,1,252500000000000053,,0,1252500000000000053
9011025001400000,1,252500000000000054,,0,1252500000000000054
9011025001400000,7,252500000000000055,,0,1252500000000000055
9011025001400000,1,252500000000000056,,0,1252500000000000056
9011025001400000,1,252500000000000057,,0,1252500000000000057
9011025001400000,2,252500000000000058,,0,1252500000000000058
9011025001400000,2,252500000000000059,,0,1252500000000000059
9011025001400000,3,252500000000000060,,0,1252500000000000060
9011025001400000,3,252500000000000061,,0,1252500000000000061
9011025001400000,3,252500000000000062,,0,1252500000000000062
9011025001400000,1,252500000000000063,,0,1252500000000000063
9011025001400000,4,252500000000000064,,0,1252500000000000064
9011025001700000,1,252500000000000065,,1,1252500000000000065
9011025001700000,3,252500000000000066,,1,1252500000000000066
9011025001700000,1,252500000000000067,,0,1252500000000000067
9011025001700000,3,252500000000000068,,0,1252500000000000068
9011025001800000,1,252500000000000069,,1,1252500000000000069
9011025001800000,1,252500000000000070,,1,1252500000000000070
9011025001800000,1,252500000000000071,,1,1252500000000000071
9011025001800000,1,252500000000000072,,0,1252500000000000072
9011025001800000,1,252500000000000073,,0,1252500000000000073
9011025001800000,1,252500000000000074,,0,1252500000000000074
9011025002000000,3,252500000000000075,,1,1252500000000000075
9011025002000000,1,252500000000000076,,1,1252500000000000076
9011025002000000,1,252500000000000077,,1,1252500000000000077
9011025002000000,1,252500000000000078,,1,1252500000000000078
9011025002000000,3,252500000000000079,,1,1252500000000000079
9011025002000000,1,252500000000000080,,1,1252500000000000080
9011025002000000,1,252500000000000081,,1,1252500000000000081
9011025002000000,1,252500000000000082,,1,1252500000000000082
9011025002000000,1,252500000000000083,,1,1252500000000000083
9011025002000000,1,252500000000000084,,1,1252500000000000084
9011025002000000,1,252500000000000085,,1,1252500000000000085
9011025002000000,1,252500000000000086,,1,1252500000000000086
9011025002000000,2,252500000000000087,,1,1252500000000000087
9011025002000000,2,252500000000000088,,1,1252500000000000088
9011025002000000,2,252500000000000089,,1,1252500000000000089
9011025002000000,3,252500000000000090,,1,1252500000000000090
9011025002000000,3,252500000000000091,,1,1252500000000000091
9011025002000000,1,252500000000000092,,1,1252500000000000092
9011025002000000,1,252500000000000093,,0,1252500000000000093
9011025002000000,1,252500000000000094,,0,1252500000000000094
9011025002000000,1,252500000000000095,,0,1252500000000000095
9011025002000000,1,252500000000000096,,0,1252500000000000096
9011025002000000,1,252500000000000097,,0,1252500000000000097
9011025002000000,1,252500000000000098,,0,1252500000000000098
9011025002000000,1,252500000000000099,,0,1252500000000000099
9011025002000000,1,252500000000000100,,0,1252500000000000100
9011025002000000,1,252500000000000101,,0,1252500000000000101
9011025002000000,2,252500000000000102,,0,1252500000000000102
9011025002000000,3,252500000000000103,,0,1252500000000000103
9011025002000000,2,252500000000000104,,0,1252500000000000104
9011025002000000,3,252500000000000105,,0,1252500000000000105
9011025002000000,3,252500000000000106,,0,1252500000000000106
9011025002000000,1,252500000000000107,,0,1252500000000000107
9011025002000000,1,252500000000000108,,0,1252500000000000108
9011025002000000,1,252500000000000109,,0,1252500000000000109
9011025002000000,2,252500000000000110,,0,1252500000000000110
9011025002000000,3,252500000000000111,,0,1252500000000000111
9011025002100000,3,252500000000000112,,1,1252500000000000112
9011025002100000,1,252500000000000113,,1,1252500000000000113
9011025002100000,1,252500000000000114,,1,1252500000000000114
9011025002100000,1,252500000000000115,,1,1252500000000000115
9011025002100000,3,252500000000000116,,1,1252500000000000116
9011025002100000,2,252500000000000117,,1,1252500000000000117
9011025002100000,3,252500000000000118,,1,1252500000000000118
9011025002100000,1,252500000000000119,,1,1252500000000000119
9011025002100000,1,252500000000000120,,0,1252500000000000120
9011025002100000,3,252500000000000121,,0,1252500000000000121
9011025002100000,3,252500000000000122,,0,1252500000000000122
9011025002100000,2,252500000000000123,,0,1252500000000000123
9011025002100000,1,252500000000000124,,0,1252500000000000124
9011025002100000,1,252500000000000125,,0,1252500000000000125
9011025002100000,1,252500000000000126,,0,1252500000000000126
9011025002100000,3,252500000000000127,,0,1252500000000000127
9011025002300000,2,252500000000000128,,1,1252500000000000128
9011025002300000,2,252500000000000129,,1,1252500000000000129
9011025002300000,2,252500000000000130,,1,1252500000000000130
9011025002300000,2,252500000000000131,,1,1252500000000000131
9011025002300000,2,252500000000000132,,1,1252500000000000132
9011025002300000,2,252500000000000133,,1,1252500000000000133
9011025002300000,2,252500000000000134,,1,1252500000000000134
9011025002300000,2,252500000000000135,,1,1252500000000000135
9011025002300000,2,252500000000000136,,1,1252500000000000136
9011025002300000,2,252500000000000137,,1,1252500000000000137
9011025002300000,2,252500000000000138,,1,1252500000000000138
9011025002300000,2,252500000000000139,,1,1252500000000000139
9011025002300000,2,252500000000000140,,1,1252500000000000140
9011025002300000,2,252500000000000141,,1,1252500000000000141
9011025002300000,2,252500000000000142,,1,1252500000000000142
9011025002300000,2,252500000000000143,,1,1252500000000000143
9011025002300000,2,252500000000000144,,1,1252500000000000144
9011025002300000,2,252500000000000145,,1,1252500000000000145
9011025002300000,2,252500000000000146,,1,1252500000000000146
9011025002300000,2,252500000000000147,,1,1252500000000000147
9011025002300000,2,252500000000000148,,0,1252500000000000148
9011025002300000,2,252500000000000149,,0,1252500000000000149
9011025002300000,2,252500000000000150,,0,1252500000000000150
9011025002300000,2,252500000000000151,,0,1252500000000000151
9011025002300000,2,252500000000000152,,0,1252500000000000152
9011025002300000,2,252500000000000153,,0,1252500000000000153
9011025002300000,2,252500000000000154,,0,1252500000000000154
9011025002300000,2,252500000000000155,,0,1252500000000000155
9011025002300000,2,252500000000000156,,0,1252500000000000156
9011025002300000,2,252500000000000157,,0,1252500000000000157
9011025002300000,2,252500000000000158,,0,1252500000000000158
9011025002300000,2,252500000000000159,,0,1252500000000000159
9011025002300000,2,252500000000000160,,0,1252500000000000160
9011025002300000,2,252500000000000161,,0,1252500000000000161
9011025002300000,2,252500000000000162,,0,1252500000000000162
9011025002300000,2,252500000000000163,,0,1252500000000000163
9011025002300000,2,252500000000000164,,0,1252500000000000164
9011025002300000,2,252500000000000165,,0,1252500000000000165
9011025002300000,2,252500000000000166,,0,1252500000000000166
9011025002300000,2,252500000000000167,,0,1252500000000000167
9011025002600000,3,252500000000000168,,1,1252500000000000168
9011025002600000,2,252500000000000169,,1,1252500000000000169
9011025002600000,1,252500000000000170,,1,1252500000000000170
9011025002600000,1,252500000000000171,,1,1252500000000000171
9011025002600000,1,252500000000000172,,1,1252500000000000172
9011025002600000,3,252500000000000173,,0,1252500000000000173
9011025002600000,1,252500000000000174,,0,1252500000000000174
9011025002600000,1,252500000000000175,,0,1252500000000000175
9011025002600000,1,252500000000000176,,0,1252500000000000176
9011025002600000,2,252500000000000177,,0,1252500000000000177
9011025002800000,1,252500000000000178,,1,1252500000000000178
9011025002800000,1,252500000000000179,,1,1252500000000000179
9011025002800000,1,252500000000000180,,1,1252500000000000180
9011025002800000,1,252500000000000181,,1,1252500000000000181
9011025002800000,1,252500000000000182,,1,1252500000000000182
9011025002800000,1,252500000000000183,,1,1252500000000000183
9011025002800000,1,252500000000000184,,1,1252500000000000184
9011025002800000,1,252500000000000185,,1,1252500000000000185
9011025002800000,1,252500000000000186,,1,1252500000000000186
9011025002800000,1,252500000000000187,,1,1252500000000000187
9011025002800000,1,252500000000000188,,1,1252500000000000188
9011025002800000,1,252500000000000189,,1,1252500000000000189
9011025002800000,1,252500000000000190,,1,1252500000000000190
9011025002800000,1,252500000000000191,,1,1252500000000000191
9011025002800000,1,252500000000000192,,1,1252500000000000192
9011025002800000,1,252500000000000193,,1,1252500000000000193
9011025002800000,1,252500000000000194,,1,1252500000000000194
9011025002800000,1,252500000000000195,,1,1252500000000000195
9011025002800000,1,252500000000000196,,1,1252500000000000196
9011025002800000,1,252500000000000197,,1,1252500000000000197
9011025002800000,1,252500000000000198,,1,1252500000000000198
9011025002800000,1,252500000000000199,,1,1252500000000000199
9011025002800000,1,252500000000000200,,1,1252500000000000200
9011025002800000,1,252500000000000201,,1,1252500000000000201
9011025002800000,1,252500000000000202,,1,1252500000000000202
9011025002800000,1,252500000000000203,,1,1252500000000000203
9011025002800000,1,252500000000000204,,1,1252500000000000204
9011025002800000,8,252500000000000205,,1,1252500000000000205
9011025002800000,1,252500000000000206,,1,1252500000000000206
9011025002800000,1,252500000000000207,,0,1252500000000000207
9011025002800000,1,252500000000000208,,0,1252500000000000208
9011025002800000,1,252500000000000209,,0,1252500000000000209
9011025002800000,1,252500000000000210,,0,1252500000000000210
9011025002800000,1,252500000000000211,,0,1252500000000000211
9011025002800000,1,252500000000000212,,0,1252500000000000212
9011025002800000,1,252500000000000213,,0,1252500000000000213
9011025002800000,1,252500000000000214,,0,1252500000000000214
9011025002800000,1,252500000000000215,,0,1252500000000000215
9011025002800000,1,252500000000000216,,0,1252500000000000216
9011025002800000,1,252500000000000217,,0,1252500000000000217
9011025002800000,1,252500000000000218,,0,1252500000000000218
9011025002800000,1,252500000000000219,,0,1252500000000000219
9011025002800000,1,252500000000000220,,0,1252500000000000220
9011025002800000,1,252500000000000221,,0,1252500000000000221
9011025002800000,1,252500000000000222,,0,1252500000000000222
9011025002800000,1,252500000000000223,,0,1252500000000000223
9011025002800000,1,252500000000000224,,0,1252500000000000224
9011025002800000,1,252500000000000225,,0,1252500000000000225
9011025002800000,1,252500000000000226,,0,1252500000000000226
9011025002800000,1,252500000000000227,,0,1252500000000000227
9011025002800000,1,252500000000000228,,0,1252500000000000228
9011025002800000,1,252500000000000229,,0,1252500000000000229
9011025002800000,1,252500000000000230,,0,1252500000000000230
9011025002800000,1,252500000000000231,,0,1252500000000000231
9011025002800000,1,252500000000000232,,0,1252500000000000232
9011025002800000,1,252500000000000233,,0,1252500000000000233
9011025002800000,1,252500000000000234,,0,1252500000000000234
9011025002800000,1,252500000000000235,,0,1252500000000000235
9011025002800000,1,252500000000000236,,0,1252500000000000236
9011025002800000,1,252500000000000237,,0,1252500000000000237
9011025002800000,1,252500000000000238,,0,1252500000000000238
9011025002900000,1,252500000000000239,,1,1252500000000000239
9011025002900000,1,252500000000000240,,1,1252500000000000240
9011025002900000,1,252500000000000241,,1,1252500000000000241
9011025002900000,1,252500000000000242,,1,1252500000000000242
9011025002900000,1,252500000000000243,,1,1252500000000000243
9011025002900000,1,252500000000000244,,1,1252500000000000244
9011025002900000,1,252500000000000245,,1,1252500000000000245
9011025002900000,1,252500000000000246,,1,1252500000000000246
9011025002900000,1,252500000000000247,,1,1252500000000000247
9011025002900000,1,252500000000000248,,0,1252500000000000248
9011025002900000,1,252500000000000249,,0,1252500000000000249
9011025002900000,1,252500000000000250,,0,1252500000000000250
9011025002900000,1,252500000000000251,,0,1252500000000000251
9011025002900000,1,252500000000000252,,0,1252500000000000252
9011025002900000,1,252500000000000253,,0,1252500000000000253
9011025002900000,1,252500000000000254,,0,1252500000000000254
9011025002900000,1,252500000000000255,,0,1252500000000000255
9011025002900000,1,252500000000000256,,0,1252500000000000256
9011025002900000,1,252500000000000257,,0,1252500000000000257
9011025003000000,1,252500000000000258,,1,1252500000000000258
9011025003000000,1,252500000000000259,,1,1252500000000000259
9011025003000000,1,252500000000000260,,1,1252500000000000260
9011025003000000,1,252500000000000261,,1,1252500000000000261
9011025003000000,1,252500000000000262,,1,1252500000000000262
9011025003000000,1,252500000000000263,,1,1252500000000000263
